census_id,name,address,city,county,cad_account,units,sponsor,species,tier,traveling,current_status,appraised_value,tax_at_stake,tax_basis,kill_regime,kill_date,exemption_status,litigation,confidence,gaps_n
TX-NEW-BEXAR-4,5 Fifty,"550 Heimer Rd, San Antonio, TX 78232",San Antonio,Bexar,646352,204,La Villa Housing Finance Corporation,HFC,1,yes,unknown,18500000.0,425500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-2718,Sterling at Oak Hills,"7714 Louis Pasteur Dr, San Antonio, TX 78229",San Antonio,Bexar,1254484,330,Maverick County Housing Finance Corporation,HFC,1,yes,exempt_at_2027_risk,57000000.0,1305399,precise (per-account rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-1394163,Alamo Residences at Spurs Lane,"1 Spurs Lane, San Antonio, TX 78240",San Antonio,Bexar,1395697,120,Maverick County Housing Finance Corporation,HFC,1,yes,unknown,15889210.0,365452,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-2092,Melia,"3434 Oakdale St, San Antonio, TX 78229",San Antonio,Bexar,"522684, 522690",300,Pecos Housing Finance Corporation,HFC,1,yes,unknown,14057700.0,323327,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,1
TX-61-1487,Seville,"13330 Blanco Rd, San Antonio, TX 78216",San Antonio,Bexar,639271,200,Pecos Housing Finance Corporation,HFC,1,yes,unknown,22000000.0,506000,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,1
TX-61-557312,Timberhill Commons,"5072 Timberhill, Leon Valley, TX 78238",Leon Valley,Bexar,"1300448, 1444456",,Pecos Housing Finance Corporation,HFC,1,yes,unknown,40500000.0,931500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",cross-validated,1
TX-61-1746,Vistas Two 52,"3787 Perrin Central Blvd, San Antonio, TX 78217",San Antonio,Bexar,595581,252,Pecos Housing Finance Corporation,HFC,1,yes,unknown,27000000.0,621000,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,1
TX-61-384,Mission Villas,"247 W Dickson Ave, San Antonio, TX 78214",San Antonio,Bexar,1444640,176,Pecos Housing Finance Corporation,HFC,1,yes,unknown,932350.0,21444,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,2
TX-61-1321,Brixton Apartments,"2555 NE Loop 410, San Antonio, TX 78217",San Antonio,Bexar,"500195, 1444659",384,Pecos Housing Finance Corporation,HFC,1,yes,unknown,23500000.0,540500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,2
TX-61-387177,Durrington Ridge,"21915 N US Hwy 281, San Antonio, TX 78258",San Antonio,Bexar,1352388,398,Pleasanton Housing Finance Corporation,HFC,1,yes,exempt_at_2027_risk,69000000.0,1564557,precise (per-account rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-1709,Nova Apartments,"14200 Vance Jackson Rd, San Antonio, TX 78249",San Antonio,Bexar,1117284,412,Pleasanton Housing Finance Corporation,HFC,1,yes,exempt_at_2027_risk,53500000.0,1225243,precise (per-account rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-1175498,Med West,"7139 Wurzbach Rd, San Antonio, TX 78240",San Antonio,Bexar,1284640,131,Pleasanton Housing Finance Corporation,HFC,1,yes,unknown,19900000.0,457700,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-533,Summit at Henderson Pass,"16465 Henderson Pass, San Antonio, TX 78232",San Antonio,Bexar,606514,228,Pleasanton Housing Finance Corporation,HFC,1,yes,unknown,21791110.0,501196,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-659,Oasis,"6023 UTSA Blvd, San Antonio, TX 78249",San Antonio,Bexar,1193224,260,Pleasanton Housing Finance Corporation,HFC,1,yes,unknown,42500000.0,977500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-1955,Trailside,"8120 Mainland Dr, San Antonio, TX 78240",San Antonio,Bexar,685075,240,Pleasanton Housing Finance Corporation,HFC,1,yes,unknown,23520000.0,540960,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-374106,Abacus Alamo Ranch,"11788 Culebra Rd, San Antonio, TX 78253",San Antonio,Bexar,1304106,320,Texas Essential Housing Public Facility Corporation,PFC,2,yes,unknown,61095110.0,,,HB2071 grandfather (Ch.303 PFC) -- no HB21 cliff,,,"TEHPFC v. Williamson CAD 24-0022-C395 & 24-1698-C395; AG opinion request KP-0437; Not named in the Bexar Appraisal District HFC suit (that suit targets Ch.394 HFCs; TEHPFC is a Ch.303 PFC, a different statutory regime)",single-source,1
TX-61-1521,Atlee,"402 Holland Ave, San Antonio, TX 78212",San Antonio,Bexar,"369472, 369485, 369492",144,Texas Essential Housing Public Facility Corporation,PFC,2,yes,unknown,11441855.0,,,HB2071 grandfather (Ch.303 PFC) -- no HB21 cliff,,,"TEHPFC v. Williamson CAD 24-0022-C395 & 24-1698-C395; AG opinion request KP-0437; Not named in the Bexar Appraisal District HFC suit (that suit targets Ch.394 HFCs; TEHPFC is a Ch.303 PFC, a different statutory regime)",cross-validated,0
TX-NEW-BEXAR-5,Alaro,"7310 Culebra Commons, San Antonio, TX 78250",San Antonio,Bexar,1390520,248,Texas Essential Housing Public Facility Corporation,PFC,2,yes,unknown,54461070.0,,,HB2071 grandfather (Ch.303 PFC) -- no HB21 cliff,,,"TEHPFC v. Williamson CAD 24-0022-C395 & 24-1698-C395; AG opinion request KP-0437; Not named in the Bexar Appraisal District HFC suit (that suit targets Ch.394 HFCs; TEHPFC is a Ch.303 PFC, a different statutory regime)",single-source,1
TX-61-457,Copper Mill,"5827 NW Loop 410, San Antonio, TX 78238",San Antonio,Bexar,617253,342,Texas Essential Housing Public Facility Corporation,PFC,2,yes,unknown,35500000.0,,,HB2071 grandfather (Ch.303 PFC) -- no HB21 cliff,,,"TEHPFC v. Williamson CAD 24-0022-C395 & 24-1698-C395; AG opinion request KP-0437; Not named in the Bexar Appraisal District HFC suit (that suit targets Ch.394 HFCs; TEHPFC is a Ch.303 PFC, a different statutory regime)",cross-validated,0
TX-NEW-BEXAR-6,410 Probandt,"410 Probandt St, San Antonio, TX 78204",San Antonio,Bexar,1399472,,Texas Essential Housing Public Facility Corporation,PFC,2,yes,unknown,5517690.0,,,HB2071 grandfather (Ch.303 PFC) -- no HB21 cliff,,,"TEHPFC v. Williamson CAD 24-0022-C395 & 24-1698-C395; AG opinion request KP-0437; Not named in the Bexar Appraisal District HFC suit (that suit targets Ch.394 HFCs; TEHPFC is a Ch.303 PFC, a different statutory regime)",single-source,2
TX-61-531,,,San Antonio,Bexar,,,Edcouch Community Housing Finance Corporation,HFC,1,yes,unknown,,,,HB21 §13(i),2027-01-01,,Bexar Appraisal District v. Edcouch Community HFC -- sponsor named in the ~27-complex/$26M Sandoval suit (News4SanAntonio); this specific property not confirmed on the (unpublished) plaintiff list.,seed,2
TX-37-109,Spring Pointe Apartments,"3501 N Jupiter Rd, Richardson, TX 75082",Richardson,Collin,1615274,208,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,25558696.0,587850,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-8327,Oaks of North Dallas Apartments,"4701 Haverwood Ln, Dallas, TX 75287",Dallas,Collin,1571748,168,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,16760321.0,385487,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,1
TX-37-8328,4804 Haverwood Apartments,"4804 Haverwood Ln, Dallas, TX 75287",Dallas,Collin,1708824,180,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,15751585.0,362286,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,1
TX-37-8332,380 Villas,"1101 N Throckmorton St, McKinney, TX 75069",McKinney,Collin,2905902,220,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,48859852.0,1123777,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-1228308,Montgomery at Watters Creek,"1280 Montgomery Blvd, Allen, TX 75013",Allen,Collin,2834129,370,Garland Housing Finance Corporation,HFC,1,yes,unknown,87659189.0,2016161,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-1480322,Savannah at Gateway Senior Apartments,"401 Shiloh Rd, Plano, TX 75074",Plano,Collin,2630081,,Garland Housing Finance Corporation,HFC,1,yes,unknown,4654168.0,107046,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Likely subject property of Collin CAD v. Garland Housing Finance Corp., 05-19-01417-CV (GHFC won pre-HB21; HB21 §13(i) now overrides per Phase 1 verdict) -- not independently confirmed by parcel-level court filing review.",cross-validated,0
TX-37-4164,Twin Creeks Crossing I Apartments,"1090 W Exchange Pkwy, Allen, TX 75013",Allen,Collin,2731037,347,La Villa Housing Finance Corporation,HFC,1,yes,unknown,60528188.0,1392148,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-1180,Palencia Apartments,"17817 Coit Rd, Dallas, TX 75252",Dallas,Collin,2018449,281,Maverick County Housing Finance Corporation,HFC,1,yes,unknown,32936817.0,757547,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-369642,Alma Hub 121 Apartments,"7201 Henneman Way, McKinney, TX 75070",McKinney,Collin,2820606,286,Maverick County Housing Finance Corporation,HFC,1,yes,unknown,50321895.0,1157404,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-3204,Larkin,"2301 W White Ave, McKinney, TX 75071",McKinney,Collin,2057207,240,Pecos Housing Finance Corporation,HFC,1,yes,unknown,38218870.0,879034,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-3160,The Dayton,"6000 Ohio Dr, Plano, TX 75093",Plano,Collin,1627494,389,Pecos Housing Finance Corporation,HFC,1,yes,unknown,47324508.0,1088464,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,1
TX-37-4378,Carson at Twin Creeks,"659 Junction Dr, Allen, TX 75013",Allen,Collin,2856059,374,Pecos Housing Finance Corporation,HFC,1,yes,unknown,67847411.0,1560490,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-37-3179,Adriane,"2000 FM 1378, Wylie, TX 75098",Wylie,Collin,2526594,180,Pecos Housing Finance Corporation,HFC,1,yes,unknown,26575673.0,611240,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,cross-validated,0
TX-NEW-COLLIN-1,Oaks of North Dallas Apartments,"5075 Pear Ridge Dr, Dallas, TX 75287",Dallas,Collin,1650804,144,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,14002575.0,322059,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,1
TX-NEW-COLLIN-2,Oaks of North Dallas Apartments,"5055 Pear Ridge Dr, Dallas, TX 75287",Dallas,Collin,1650813,144,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,13788728.0,317141,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,1
TX-NEW-COLLIN-3,The Riley,"3551 Wilshire Way 1, Richardson, TX 75082",Richardson,Collin,2924643,269,Garland Housing Finance Corporation,HFC,1,yes,unknown,62918060.0,1447115,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,2
TX-NEW-COLLIN-4,Twin Creeks Crossing II Apartments,"1301 Bray Central Dr, Allen, TX 75013",Allen,Collin,2735309,330,La Villa Housing Finance Corporation,HFC,1,yes,unknown,57575594.0,1324239,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,1
TX-NEW-COLLIN-5,,"Bray Central Dr, Allen, TX 75013",Allen,Collin,2735311,,La Villa Housing Finance Corporation,HFC,1,yes,unknown,6338.0,146,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,2
TX-NEW-COLLIN-6,,"17817 Coit Rd, Dallas, TX 75252",Dallas,Collin,2040610,,Maverick County Housing Finance Corporation,HFC,1,yes,unknown,70276.0,1616,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,2
TX-NEW-COLLIN-7,,"McCallum Blvd, Dallas, TX 75252",Dallas,Collin,1970815,,Pecos Housing Finance Corporation,HFC,1,yes,unknown,99461.0,2288,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,2
TX-NEW-COLLIN-8,The Junction at 7760,"7760 McCallum Blvd, Dallas, TX 75252",Dallas,Collin,1963419,297,Pecos Housing Finance Corporation,HFC,1,yes,unknown,22642344.0,520774,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,,single-source,1
TX-NEW-COLLIN-9,Hathaway at Willow Bend,"2525 Preston Rd, Plano, TX 75093",Plano,Collin,1716655,229,Pecos Housing Finance Corporation,HFC,1,yes,unknown,34500000.0,793500,estimated (2.3% representative rate),HB21 §13(e) (capital-event early death) -- already occurred,2026-06-24,,,single-source,3
TX-43-1496,LAS COLINAS HEIGHTS,3701 N OCONNOR RD,Irving,Dallas,32065600000010000,513,Cameron County Housing Finance Corporation,HFC,1,yes,billed_now,87210000.0,1865492,precise (per-account rate),HB21 §13(i),2027-01-01,,"Williamson County v. Cameron County HFC (TRO); Bexar AD suit (27 complexes/$26M); TWHC HB21 constitutional challenge (Cameron Co., 9/9/2025)",single-source,3
TX-43-1599,MONTORO APARTMENTS,3701 W PIONEER DR,Irving,Dallas,32441150000000000,324,Cameron County Housing Finance Corporation,HFC,1,yes,billed_now,48600000.0,1039593,precise (per-account rate),HB21 §13(i),2027-01-01,,"Williamson County v. Cameron County HFC (TRO); Bexar AD suit (27 complexes/$26M); TWHC HB21 constitutional challenge (Cameron Co., 9/9/2025)",single-source,3
TX-37-772,INFINITY ON THE OAKS,9236 CHURCH RD,Dallas,Dallas,00000792887000000,208,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,28500000.0,655500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Williamson County v. Cameron County HFC (TRO); Bexar AD suit (27 complexes/$26M); TWHC HB21 constitutional challenge (Cameron Co., 9/9/2025)",single-source,3
TX-37-7585,TIDES ON PARK LANE,8780 PARK LN,Dallas,Dallas,00000368152000000,343,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,36325970.0,835497,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Williamson County v. Cameron County HFC (TRO); Bexar AD suit (27 complexes/$26M); TWHC HB21 constitutional challenge (Cameron Co., 9/9/2025)",single-source,3
